"ID_building","price_m2","easting","northing","ID_cadas_com","floors_total","floor_entrance","year_built","year_ren_roof","year_ren_face","constr_type","elevator","house_type","no_appart","trans_date","floor_appartment","postion_type","duplex","living_area","total_area","year_ren_wind","year_ren_inst","floor_above_ground","dist_airport","dist_public_transport","elevation","dist_schools","dist_highway_entr","dist_highway","dist_railway","dist_recreation","dist_main_roads","dist_regional_roads","dist_river","construct_age","roof_age","facade_age","inst_age","windows_age"
3260,1849,463393.17,102048.15,"2636",5,1,1957-10-13,1957-10-13,1957-10-13,"5","0","1",32,2010-10-27,2,"2","0",62.2,70.1,1965-10-13,1965-10-13,2,19112.560546875,141.421356201172,295,200,2236.06787109375,2059.1259765625,300,1392.8388671875,0,2256.10278320312,894.427185058594,19372,19372,19372,16450,16450
3261,2034,459486.89,99506,"1723",6,1,1976-10-13,1996-10-13,1976-10-13,"2","0","4",42,2013-03-27,1,"3","0",49.9,55.6,1976-10-13,2000-10-13,1,21019.27734375,100,294,100,640.312438964844,500,200,1431.78210449219,100,538.516479492188,100,13314,6009,13314,4548,13314
3262,2266,465009.96,103427.57,"2680",9,1,1981-10-13,2010-10-13,1981-10-13,"2","1","1",110,2012-09-03,7,"3","0",35.3,42.9,1981-10-13,1981-10-13,7,18258.421875,447.213592529297,292,100,721.110229492188,100,500,1140.17541503906,447.213592529297,721.110229492188,984.885803222656,11283,691,11283,11283,11283
3263,3002,462995.06,102109.82,"2636",7,1,1966-10-13,1966-10-13,1966-10-13,"2","0","1",45,2009-03-13,1,"3","0",29.4,31.2,2001-10-13,1966-10-13,1,18918.7734375,316.227752685547,298,100,2247.22045898438,2118.9619140625,400,1655.29455566406,141.421356201172,2284.73193359375,1166.1904296875,15492,15492,15492,15492,2708
3264,2490,461472.01,100736.75,"1721",5,2,1880-10-13,1880-10-13,1880-10-13,"5","0","1",21,2012-02-28,2,"3","0",97.4,109.5,2001-10-13,2001-10-13,2,20011.24609375,0,297,100,2701.85131835938,2400,223.606796264648,806.225769042969,223.606796264648,2865.30981445312,360.555114746094,47984,47984,47984,3790,3790
3265,2462,463176.7,103869.76,"1736",23,1,1981-10-13,1981-10-13,1981-10-13,"2","1","1",148,2010-09-27,7,"3","0",26.4,29.1,1981-10-13,1981-10-13,7,17225.5625,447.213592529297,301,200,670.820373535156,500,1170.46997070312,1077.03295898438,509.901947021484,721.110229492188,1140.17541503906,10576,10576,10576,10576,10576
3266,2218,459677.4,99608.98,"1723",5,1,1978-10-13,1997-10-13,1978-10-13,"2","0","1",26,2011-03-14,3,"3","0",29.3,34.8,1978-10-13,1978-10-13,3,20928.927734375,200,293,200,860.232543945312,721.110229492188,223.606796264648,1303.84045410156,100,761.577331542969,0,11840,4900,11840,11840,11840
3267,2671,462818.48,100828,"1727",17,1,1977-10-13,1977-10-13,1977-10-13,"2","1","4",84,2011-02-14,6,"3","0",30.7,37.8,1997-10-13,1997-10-13,6,20142.740234375,100,290,100,3046.30932617188,2773.0849609375,707.106811523438,500,100,3522.78295898438,0,12177,12177,12177,4872,4872
3268,2007,466628.36,101111,"1772",15,2,1986-10-13,1986-10-13,1986-10-13,"2","1","1",348,2010-06-03,2,"3","0",53.8,59.1,1986-10-13,1986-10-13,2,20984.755859375,141.421356201172,282,300,824.621154785156,707.106811523438,538.516479492188,1581.13879394531,200,1421.26708984375,316.227752685547,8634,8634,8634,8634,8634
3269,1331,463127.64,103744.3,"1736",6,1,1976-10-13,2004-10-13,2009-10-13,"2","0","3",52,2011-04-20,2,"3","0",67.6,73,1976-10-13,1976-10-13,2,17392.240234375,500,301,100,860.232543945312,700,1118.03393554688,1300,500,921.954467773438,1360.14709472656,12607,2380,554,12607,12607
3270,2841,460764.94,103479.86,"1739",6,2,1953-10-13,1953-10-13,2013-10-13,"1","0","1",131,2011-03-23,2,"3","0",27.1,27.6,1953-10-13,1953-10-13,2,17129.21484375,141.421356201172,304,200,707.106811523438,583.09521484375,282.842712402344,1019.80389404297,100,3201.56201171875,1476.48229980469,20980,20980,20980,20980,20980
3271,2556,465721.63,101296.52,"1730",11,1,1982-10-13,1982-10-13,1982-10-13,"5","1","1",144,2010-02-10,1,"3","0",40.3,49.8,1982-10-13,1982-10-13,1,20470.7109375,141.421356201172,287,400,1456.02197265625,1431.78210449219,200,1360.14709472656,100,1700,223.606796264648,9982,9982,9982,9982,9982
3272,2118,458751.75,107001.21,"1753",5,1,2006-10-13,2006-10-13,2006-10-13,"2","0","1",14,2010-12-16,1,"3","0",61.6,61.6,2006-10-13,2006-10-13,1,13500.3701171875,223.606796264648,317,700,800,500,223.606796264648,2751.36328125,700,100,1104.5361328125,1525,1525,1525,1525,1525
3273,1783,462984,103802,"1736",12,1,1977-10-13,1997-10-13,1977-10-13,"2","0","3",34,2011-07-27,4,"3","0",80.2,80.2,2004-10-13,1977-10-13,4,17269.916015625,400,301,100,761.577331542969,600,1004.98754882812,1252.99645996094,360.555114746094,943.398132324219,1300,12340,5035,12340,12340,2478
3274,4514,459582.92,99874.81,"1723",7,2,2007-10-13,2007-10-13,2007-10-13,"2","1","1",58,2008-03-11,2,"3","0",28.9,39.5,2007-10-13,2007-10-13,2,20624.2578125,141.421356201172,295,200,1000,848.528137207031,0,1019.80389404297,141.421356201172,848.528137207031,141.421356201172,150,150,150,150,150
3275,2885,459910.32,103612.63,"1738",5,1,1972-10-13,1993-10-13,2006-10-13,"5","0","4",77,2010-09-03,1,"3","0",25.3,27.1,2006-10-13,1972-10-13,1,16949.92578125,141.421356201172,307,100,360.555114746094,200,860.232543945312,1004.98754882812,412.310577392578,2996.66479492188,943.398132324219,13839,6169,1421,13839,1421
3276,2506,463015.89,102796.01,"2636",11,2,1988-10-13,2004-10-13,1988-10-13,"2","1","1",36,2010-06-07,7,"3","0",33.4,40,1988-10-13,1988-10-13,7,18238.6953125,412.310577392578,299,300,1612.45153808594,1476.48229980469,1100,2024.845703125,200,1664.33166503906,1788.85437011719,7907,2063,7907,7907,7907
3277,2246,462076.76,102610.6,"2636",2,1,1926-10-13,1926-10-13,1926-10-13,"1","0","1",4,2013-02-28,2,"2","1",60.1,77.9,1994-10-13,1926-10-13,2,18238.96875,223.606796264648,301,300,1992.48583984375,1900,400,1118.03393554688,0,2404.1630859375,1627.88208007812,31550,31550,31550,31550,6713
3278,2708,459701.16,103087.89,"1739",6,1,1974-10-13,1999-10-13,2003-10-13,"2","0","1",41,2010-10-14,2,"3","0",65,84.6,1974-10-13,1974-10-13,2,17434.736328125,141.421356201172,305,200,707.106811523438,583.09521484375,1303.84045410156,509.901947021484,848.528137207031,3383.78491210938,424.264068603516,13150,4019,2558,13150,13150
3279,2466,460628.79,100108.32,"1723",6,2,1963-10-13,2002-10-13,1963-10-13,"5","0","1",60,2012-11-09,2,"3","0",45.5,56.2,1963-10-13,1963-10-13,2,20497.8046875,223.606796264648,292,0,1886.79626464844,1615.54943847656,223.606796264648,1131.37084960938,0,1788.85437011719,300,17925,3680,17925,17925,17925
3280,2634,463549.74,101472.53,"1726",6,1,1961-10-13,1961-10-13,2006-10-13,"5","0","1",40,2011-10-13,2,"2","0",31.7,35.1,1961-10-13,1961-10-13,2,19621.671875,360.555114746094,290,0,2580.69750976562,2459.6748046875,200,894.427185058594,223.606796264648,2580.69750976562,412.310577392578,18262,18262,1826,18262,18262
3281,2698,466587.37,109881.24,"1961",6,2,2009-10-13,2009-10-13,2009-10-13,"5","1","1",22,2011-02-03,2,"3","0",93.4,113,2009-10-13,2009-10-13,2,13280.060546875,3492.84985351562,297,200,4104.875,3195.30908203125,100,4939.6357421875,3443.8349609375,100,632.455505371094,478,478,478,478,478
3282,2328,462472.09,100119.18,"2677",7,1,1963-10-13,1963-10-13,1963-10-13,"1","0","3",62,2011-05-12,3,"3","0",58,58,1999-10-13,1999-10-13,3,20769.44921875,0,292,0,2284.73193359375,2012.46118164062,400,100,0,2886.173828125,282.842712402344,17378,17378,17378,4229,4229
3283,2190,459985.44,103824.59,"1738",5,1,1970-10-13,2011-10-13,2000-10-13,"5","0","1",44,2011-11-23,2,"2","0",27.4,30,1970-10-13,1970-10-13,2,16758.580078125,316.227752685547,307,100,282.842712402344,100,670.820373535156,1216.55249023438,223.606796264648,2865.30981445312,1044.03063964844,15016,41,4058,15016,15016
3284,2142,460264.38,99894.66,"1723",6,1,1966-10-13,2008-10-13,1966-10-13,"1","0","1",28,2010-09-10,3,"3","0",53.7,63.2,1966-10-13,1966-10-13,3,20662.04296875,141.421356201172,293,0,1442.22045898438,1280.62487792969,223.606796264648,1077.03295898438,100,1341.64074707031,100,16038,697,16038,16038,16038
3285,2527,462577,105297,"1734",6,2,1975-10-13,2010-10-13,1975-10-13,"2","0","4",17,2010-11-03,1,"3","0",37.2,46.1,1975-10-13,1975-10-13,1,15717.505859375,0,302,300,806.225769042969,800,300,670.820373535156,200,1562.04992675781,707.106811523438,12805,21,12805,12805,12805
